day,host,captured_at,account,equity,last_equity,cash,position_market_value,open_legs,symbols
2026-08-27,Jamies-MacBook-Pro.local,2026-08-27T22:59:56.627580+00:00,PA382RL5C7X8,99949.55,99949.55,99949.55,0.0,0,
2026-08-28,Jamies-MacBook-Pro.local,2026-08-28T20:45:04.709644+00:00,PA382RL5C7X8,99949.55,99949.55,99949.55,0.0,0,
