day,host,captured_at,account,equity,last_equity,cash,position_market_value,open_legs,symbols
2026-08-31,Jamies-MacBook-Pro.local,2026-08-31T20:45:05.367507+00:00,PA3BUA9MX72C,100192.3,100000.0,102982.3,4744.0,10,SPY260902C00771000|SPY260902C00776000|SPY260902P00754000|SPY260902P00755000|SPY260902P00759000|SPY260902P00760000|SPY260903C00772000|SPY260903C00777000|SPY260903P00753000|SPY260903P00758000
2026-09-01,Jamies-MacBook-Pro.local,2026-09-01T20:45:05.922865+00:00,PA3BUA9MX72C,100578.02,100042.32,104474.02,7846.0,14,SPY260902C00771000|SPY260902C00776000|SPY260902P00754000|SPY260902P00755000|SPY260902P00759000|SPY260902P00760000|SPY260903C00768000|SPY260903C00772000|SPY260903C00773000|SPY260903C00777000|SPY260903P00750000|SPY260903P00753000|SPY260903P00755000|SPY260903P00758000
