captured_at,account,host,rth,symbol,underlying,expiry,tenor,strike,type,spot,bid,ask,bid_sz,ask_sz,mid,spread,spread_pct,moneyness,quote_t
2026-09-03T19:50:09.496695+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260918P00322500,TSLA,2026-09-18,9dte,322.5,put,378.615,0.85,0.91,169.0,118.0,0.88,0.06,0.068182,0.8518,2026-09-03T19:50:09.430635723Z
2026-09-03T19:50:09.496695+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,NVDA260918P00215000,NVDA,2026-09-18,9dte,215.0,put,228.88,1.55,1.63,252.0,71.0,1.59,0.08,0.050314,0.9394,2026-09-03T19:50:09.275454945Z
2026-09-03T19:50:09.496695+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260918P00330000,TSLA,2026-09-18,9dte,330.0,put,378.615,1.22,1.23,34.0,55.0,1.225,0.01,0.008163,0.8716,2026-09-03T19:50:07.70183736Z
2026-09-03T19:50:09.496695+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260918P00367500,TSLA,2026-09-18,9dte,367.5,put,378.615,8.28,8.68,11.0,150.0,8.48,0.4,0.04717,0.9706,2026-09-03T19:50:09.137090713Z
2026-09-03T19:50:09.496695+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,NVDA260918P00195000,NVDA,2026-09-18,9dte,195.0,put,228.88,0.33,0.41,508.0,397.0,0.37,0.08,0.216216,0.852,2026-09-03T19:50:08.502637506Z
2026-09-03T19:50:09.496695+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260918P00715000,SPY,2026-09-18,9dte,715.0,put,773.26,0.34,0.35,1518.0,478.0,0.345,0.01,0.028986,0.9247,2026-09-03T19:50:09.500652275Z
2026-09-03T19:50:09.496695+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260918P00362500,TSLA,2026-09-18,9dte,362.5,put,378.615,6.59,7.09,31.0,193.0,6.84,0.5,0.073099,0.9574,2026-09-03T19:50:09.134570941Z
2026-09-03T19:50:09.496695+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,NVDA260918P00212500,NVDA,2026-09-18,9dte,212.5,put,228.88,1.19,1.23,544.0,88.0,1.21,0.04,0.033058,0.9284,2026-09-03T19:50:09.275556053Z
2026-09-03T19:50:09.496695+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260918P00727000,SPY,2026-09-18,9dte,727.0,put,773.26,0.57,0.58,442.0,637.0,0.575,0.01,0.017391,0.9402,2026-09-03T19:50:08.604109953Z
2026-09-03T19:50:09.496695+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260918C00812000,SPY,2026-09-18,9dte,812.0,call,773.26,0.09,0.1,971.0,1042.0,0.095,0.01,0.105263,1.0501,2026-09-03T19:50:09.581608681Z
2026-09-03T19:50:09.496695+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260918P00750000,SPY,2026-09-18,9dte,750.0,put,773.26,1.68,1.7,291.0,261.0,1.69,0.02,0.011834,0.9699,2026-09-03T19:50:09.4029345Z
2026-09-03T19:50:09.496695+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260918P00738000,SPY,2026-09-18,9dte,738.0,put,773.26,0.86,0.91,442.0,442.0,0.885,0.05,0.056497,0.9544,2026-09-03T19:50:09.118721729Z
2026-09-03T19:50:09.496695+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260918P00704000,SPY,2026-09-18,9dte,704.0,put,773.26,0.25,0.3,719.0,575.0,0.275,0.05,0.181818,0.9104,2026-09-03T19:50:09.538137556Z
2026-09-03T19:50:09.496695+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260918P00377500,TSLA,2026-09-18,9dte,377.5,put,378.615,13.06,13.21,1.0,36.0,13.135,0.15,0.01142,0.9971,2026-09-03T19:50:08.531065178Z
2026-09-03T19:50:09.496695+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260918P00337500,TSLA,2026-09-18,9dte,337.5,put,378.615,1.8,1.9,1.0,168.0,1.85,0.1,0.054054,0.8914,2026-09-03T19:50:08.855183203Z
2026-09-03T19:50:09.496695+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,NVDA260918P00225000,NVDA,2026-09-18,9dte,225.0,put,228.88,4.12,4.23,245.0,241.0,4.175,0.11,0.026347,0.983,2026-09-03T19:50:09.492943151Z
2026-09-03T19:50:09.496695+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260918P00310000,TSLA,2026-09-18,9dte,310.0,put,378.615,0.52,0.56,89.0,63.0,0.54,0.04,0.074074,0.8188,2026-09-03T19:50:08.804767975Z
2026-09-03T19:50:09.496695+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260918P00372500,TSLA,2026-09-18,9dte,372.5,put,378.615,10.12,10.77,191.0,187.0,10.445,0.65,0.062231,0.9838,2026-09-03T19:50:09.383689Z
2026-09-03T19:50:09.496695+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260918P00355000,TSLA,2026-09-18,9dte,355.0,put,378.615,4.58,4.68,26.0,251.0,4.63,0.1,0.021598,0.9376,2026-09-03T19:50:08.591900556Z
2026-09-03T19:50:09.496695+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260918P00634000,SPY,2026-09-18,9dte,634.0,put,773.26,0.07,0.08,423.0,540.0,0.075,0.01,0.133333,0.8199,2026-09-03T19:50:08.529267931Z
2026-09-03T19:50:09.496695+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260918P00762000,SPY,2026-09-18,9dte,762.0,put,773.26,3.48,3.5,168.0,152.0,3.49,0.02,0.005731,0.9854,2026-09-03T19:50:09.38830442Z
2026-09-03T19:50:09.496695+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260918C00400000,TSLA,2026-09-18,9dte,400.0,call,378.615,6.3,6.42,31.0,8.0,6.36,0.12,0.018868,1.0565,2026-09-03T19:50:08.749114074Z
2026-09-03T19:50:09.496695+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,NVDA260918P00222500,NVDA,2026-09-18,9dte,222.5,put,228.88,3.32,3.42,41.0,265.0,3.37,0.1,0.029674,0.9721,2026-09-03T19:50:08.776874438Z
2026-09-03T19:50:09.496695+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260918C00385000,TSLA,2026-09-18,9dte,385.0,call,378.615,11.39,11.43,11.0,15.0,11.41,0.04,0.003506,1.0169,2026-09-03T19:50:09.180639423Z
