captured_at,account,host,rth,symbol,underlying,expiry,tenor,strike,type,spot,bid,ask,bid_sz,ask_sz,mid,spread,spread_pct,moneyness,quote_t
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,NVDA260911P00205000,NVDA,2026-09-11,9dte,205.0,put,217.595,0.87,0.95,18.0,27.0,0.91,0.08,0.087912,0.9421,2026-09-01T19:49:58.871752909Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260911C00776000,SPY,2026-09-11,9dte,776.0,call,761.26,0.9,0.94,106.0,157.0,0.92,0.04,0.043478,1.0194,2026-09-01T19:50:02.519660021Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,NVDA260911P00210000,NVDA,2026-09-11,9dte,210.0,put,217.595,1.74,1.78,1.0,12.0,1.76,0.04,0.022727,0.9651,2026-09-01T19:49:59.334286153Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260911P00335000,TSLA,2026-09-11,9dte,335.0,put,356.055,2.23,2.26,32.0,43.0,2.245,0.03,0.013363,0.9409,2026-09-01T19:50:02.21627499Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,NVDA260911P00217500,NVDA,2026-09-11,9dte,217.5,put,217.595,4.21,4.44,28.0,50.0,4.325,0.23,0.053179,0.9996,2026-09-01T19:50:00.001538121Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260911P00716000,SPY,2026-09-11,9dte,716.0,put,761.26,0.4,0.42,334.0,51.0,0.41,0.02,0.04878,0.9405,2026-09-01T19:50:02.78561831Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,NVDA260911P00197500,NVDA,2026-09-11,9dte,197.5,put,217.595,0.36,0.41,7.0,28.0,0.385,0.05,0.12987,0.9076,2026-09-01T19:49:59.004946409Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260911P00350000,TSLA,2026-09-11,9dte,350.0,put,356.055,6.1,6.28,22.0,59.0,6.19,0.18,0.029079,0.983,2026-09-01T19:50:02.208752051Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260911P00290000,TSLA,2026-09-11,9dte,290.0,put,356.055,0.16,0.19,13.0,9.0,0.175,0.03,0.171429,0.8145,2026-09-01T19:50:02.12890302Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260911P00325000,TSLA,2026-09-11,9dte,325.0,put,356.055,0.86,1.09,79.0,54.0,0.975,0.23,0.235897,0.9128,2026-09-01T19:50:02.470836394Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260911P00625000,SPY,2026-09-11,9dte,625.0,put,761.26,0.04,0.09,435.0,428.0,0.065,0.05,0.769231,0.821,2026-09-01T19:50:02.433778286Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260911C00799000,SPY,2026-09-11,9dte,799.0,call,761.26,0.03,0.04,887.0,670.0,0.035,0.01,0.285714,1.0496,2026-09-01T19:50:02.433583534Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260911P00680000,SPY,2026-09-11,9dte,680.0,put,761.26,0.13,0.18,319.0,319.0,0.155,0.05,0.322581,0.8933,2026-09-01T19:50:02.433788343Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260911P00645000,SPY,2026-09-11,9dte,645.0,put,761.26,0.1,0.11,457.0,313.0,0.105,0.01,0.095238,0.8473,2026-09-01T19:50:02.433447547Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260911C00355000,TSLA,2026-09-11,9dte,355.0,call,356.055,10.15,10.26,23.0,62.0,10.205,0.11,0.010779,0.997,2026-09-01T19:50:02.172714449Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260911P00660000,SPY,2026-09-11,9dte,660.0,put,761.26,0.12,0.13,476.0,315.0,0.125,0.01,0.08,0.867,2026-09-01T19:50:02.433773438Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,NVDA260911P00192500,NVDA,2026-09-11,9dte,192.5,put,217.595,0.26,0.28,21.0,265.0,0.27,0.02,0.074074,0.8847,2026-09-01T19:49:59.005832789Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260911P00340000,TSLA,2026-09-11,9dte,340.0,put,356.055,2.77,3.28,210.0,145.0,3.025,0.51,0.168595,0.9549,2026-09-01T19:50:02.261447962Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,NVDA260911P00180000,NVDA,2026-09-11,9dte,180.0,put,217.595,0.13,0.15,71.0,263.0,0.14,0.02,0.142857,0.8272,2026-09-01T19:49:59.005657404Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260911P00727000,SPY,2026-09-11,9dte,727.0,put,761.26,0.62,0.69,109.0,7.0,0.655,0.07,0.10687,0.955,2026-09-01T19:50:02.504979633Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260911P00704000,SPY,2026-09-11,9dte,704.0,put,761.26,0.27,0.29,443.0,328.0,0.28,0.02,0.071429,0.9248,2026-09-01T19:50:02.433407372Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,NVDA260911P00215000,NVDA,2026-09-11,9dte,215.0,put,217.595,3.14,3.36,68.0,60.0,3.25,0.22,0.067692,0.9881,2026-09-01T19:50:00.001753331Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260911P00317500,TSLA,2026-09-11,9dte,317.5,put,356.055,0.61,0.69,59.0,46.0,0.65,0.08,0.123077,0.8917,2026-09-01T19:50:02.126401421Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260911P00761000,SPY,2026-09-11,9dte,761.0,put,761.26,5.81,5.87,108.0,8.0,5.84,0.06,0.010274,0.9997,2026-09-01T19:50:02.573161197Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260911P00302500,TSLA,2026-09-11,9dte,302.5,put,356.055,0.24,0.37,83.0,123.0,0.305,0.13,0.42623,0.8496,2026-09-01T19:50:02.381759251Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260911P00310000,TSLA,2026-09-11,9dte,310.0,put,356.055,0.39,0.42,70.0,35.0,0.405,0.03,0.074074,0.8707,2026-09-01T19:50:02.636200574Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,NVDA260911P00207500,NVDA,2026-09-11,9dte,207.5,put,217.595,1.22,1.26,1.0,6.0,1.24,0.04,0.032258,0.9536,2026-09-01T19:50:00.082488532Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260911C00761000,SPY,2026-09-11,9dte,761.0,call,761.26,6.84,6.9,6.0,60.0,6.87,0.06,0.008734,0.9997,2026-09-01T19:50:02.492849921Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260911P00750000,SPY,2026-09-11,9dte,750.0,put,761.26,2.73,2.88,74.0,23.0,2.805,0.15,0.053476,0.9852,2026-09-01T19:50:02.494308503Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260911P00355000,TSLA,2026-09-11,9dte,355.0,put,356.055,8.57,8.77,54.0,28.0,8.67,0.2,0.023068,0.997,2026-09-01T19:50:02.329860776Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260911P00693000,SPY,2026-09-11,9dte,693.0,put,761.26,0.17,0.19,451.0,327.0,0.18,0.02,0.111111,0.9103,2026-09-01T19:50:02.433633401Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260911P00345000,TSLA,2026-09-11,9dte,345.0,put,356.055,4.42,4.87,67.0,170.0,4.645,0.45,0.096878,0.969,2026-09-01T19:50:02.450703482Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260911C00362500,TSLA,2026-09-11,9dte,362.5,call,356.055,6.28,7.22,44.0,1.0,6.75,0.94,0.139259,1.0181,2026-09-01T19:50:00.552341742Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260911C00375000,TSLA,2026-09-11,9dte,375.0,call,356.055,3.17,3.32,81.0,30.0,3.245,0.15,0.046225,1.0532,2026-09-01T19:50:01.758951028Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260911P00330000,TSLA,2026-09-11,9dte,330.0,put,356.055,1.49,1.56,45.0,51.0,1.525,0.07,0.045902,0.9268,2026-09-01T19:50:02.271030502Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,NVDA260911P00190000,NVDA,2026-09-11,9dte,190.0,put,217.595,0.22,0.24,10.0,65.0,0.23,0.02,0.086957,0.8732,2026-09-01T19:49:59.947095097Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,NVDA260911P00185000,NVDA,2026-09-11,9dte,185.0,put,217.595,0.13,0.18,18.0,248.0,0.155,0.05,0.322581,0.8502,2026-09-01T19:49:59.004890511Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260911P00738000,SPY,2026-09-11,9dte,738.0,put,761.26,1.27,1.28,79.0,54.0,1.275,0.01,0.007843,0.9694,2026-09-01T19:50:02.37550942Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,NVDA260911P00202500,NVDA,2026-09-11,9dte,202.5,put,217.595,0.62,0.66,64.0,14.0,0.64,0.04,0.0625,0.9306,2026-09-01T19:50:00.029048434Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,NVDA260911C00217500,NVDA,2026-09-11,9dte,217.5,call,217.595,4.32,4.53,26.0,67.0,4.425,0.21,0.047458,0.9996,2026-09-01T19:50:00.022847077Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,AAPL260911P00265000,AAPL,2026-09-11,9dte,265.0,put,325.73,0.01,0.07,12.0,16.0,0.04,0.06,1.5,0.8136,2026-09-01T19:49:59.493176665Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,MSFT260911P00470000,MSFT,2026-09-11,9dte,470.0,put,500.715,0.75,0.84,12.0,2.0,0.795,0.09,0.113208,0.9387,2026-09-01T19:50:00.052076032Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,MSFT260911P00485000,MSFT,2026-09-11,9dte,485.0,put,500.715,2.46,2.8,5.0,14.0,2.63,0.34,0.129278,0.9686,2026-09-01T19:50:00.022024187Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,META260911P00580000,META,2026-09-11,9dte,580.0,put,579.67,12.16,13.76,24.0,24.0,12.96,1.6,0.123457,1.0006,2026-09-01T19:50:00.038424457Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,MSFT260911P00477500,MSFT,2026-09-11,9dte,477.5,put,500.715,1.33,1.49,12.0,8.0,1.41,0.16,0.113475,0.9536,2026-09-01T19:50:00.067713001Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,MSFT260911P00425000,MSFT,2026-09-11,9dte,425.0,put,500.715,0.04,0.19,6.0,20.0,0.115,0.15,1.304348,0.8488,2026-09-01T19:49:59.983858211Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,META260911P00570000,META,2026-09-11,9dte,570.0,put,579.67,8.08,9.35,24.0,24.0,8.715,1.27,0.145726,0.9833,2026-09-01T19:50:00.033578078Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,AAPL260911C00342500,AAPL,2026-09-11,9dte,342.5,call,325.73,0.91,1.05,22.0,8.0,0.98,0.14,0.142857,1.0515,2026-09-01T19:50:00.018215949Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,META260911P00527500,META,2026-09-11,9dte,527.5,put,579.67,0.77,0.98,16.0,4.0,0.875,0.21,0.24,0.91,2026-09-01T19:50:00.047280629Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,NVDA260911C00222500,NVDA,2026-09-11,9dte,222.5,call,217.595,2.28,2.37,28.0,62.0,2.325,0.09,0.03871,1.0225,2026-09-01T19:50:00.026020132Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,MSFT260911C00525000,MSFT,2026-09-11,9dte,525.0,call,500.715,1.12,1.25,1.0,8.0,1.185,0.13,0.109705,1.0485,2026-09-01T19:50:00.000322523Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,MSFT260911P00445000,MSFT,2026-09-11,9dte,445.0,put,500.715,0.12,0.17,5.0,5.0,0.145,0.05,0.344828,0.8887,2026-09-01T19:50:00.304457386Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,MSFT260911P00500000,MSFT,2026-09-11,9dte,500.0,put,500.715,7.17,7.45,4.0,6.0,7.31,0.28,0.038304,0.9986,2026-09-01T19:50:00.098466145Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,MSFT260911P00410000,MSFT,2026-09-11,9dte,410.0,put,500.715,0.02,0.06,3.0,7.0,0.04,0.04,1.0,0.8188,2026-09-01T19:50:00.049270518Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,AAPL260911C00332500,AAPL,2026-09-11,9dte,332.5,call,325.73,2.96,3.18,10.0,8.0,3.07,0.22,0.071661,1.0208,2026-09-01T19:50:00.151639541Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,NVDA260911C00227500,NVDA,2026-09-11,9dte,227.5,call,217.595,1.11,1.14,3.0,48.0,1.125,0.03,0.026667,1.0455,2026-09-01T19:49:59.908725191Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,AAPL260911P00325000,AAPL,2026-09-11,9dte,325.0,put,325.73,5.05,5.44,10.0,76.0,5.245,0.39,0.074357,0.9978,2026-09-01T19:49:59.848817269Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,MSFT260911P00492500,MSFT,2026-09-11,9dte,492.5,put,500.715,4.22,4.95,25.0,8.0,4.585,0.73,0.159215,0.9836,2026-09-01T19:50:00.03398382Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,META260911P00545000,META,2026-09-11,9dte,545.0,put,579.67,2.1,2.91,4.0,3.0,2.505,0.81,0.323353,0.9402,2026-09-01T19:50:00.303032191Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,AAPL260911P00297500,AAPL,2026-09-11,9dte,297.5,put,325.73,0.27,0.31,6.0,36.0,0.29,0.04,0.137931,0.9133,2026-09-01T19:49:59.288611879Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,META260911P00505000,META,2026-09-11,9dte,505.0,put,579.67,0.26,0.31,11.0,24.0,0.285,0.05,0.175439,0.8712,2026-09-01T19:50:00.037913447Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,AAPL260911P00305000,AAPL,2026-09-11,9dte,305.0,put,325.73,0.6,0.72,27.0,56.0,0.66,0.12,0.181818,0.9364,2026-09-01T19:49:59.104287697Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,MSFT260911P00435000,MSFT,2026-09-11,9dte,435.0,put,500.715,0.06,0.11,7.0,12.0,0.085,0.05,0.588235,0.8688,2026-09-01T19:50:00.102039699Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,META260911P00535000,META,2026-09-11,9dte,535.0,put,579.67,1.22,1.44,1.0,1.0,1.33,0.22,0.165414,0.9229,2026-09-01T19:50:00.24090859Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,META260911P00562500,META,2026-09-11,9dte,562.5,put,579.67,5.52,6.62,3.0,1.0,6.07,1.1,0.181219,0.9704,2026-09-01T19:50:00.295298662Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,AAPL260911C00325000,AAPL,2026-09-11,9dte,325.0,call,325.73,6.14,6.47,9.0,3.0,6.305,0.33,0.052339,0.9978,2026-09-01T19:50:00.074054158Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,AAPL260911P00315000,AAPL,2026-09-11,9dte,315.0,put,325.73,1.85,1.99,28.0,27.0,1.92,0.14,0.072917,0.9671,2026-09-01T19:49:59.100127064Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,MSFT260911P00462500,MSFT,2026-09-11,9dte,462.5,put,500.715,0.34,0.5,7.0,5.0,0.42,0.16,0.380952,0.9237,2026-09-01T19:50:00.30479863Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,MSFT260911C00510000,MSFT,2026-09-11,9dte,510.0,call,500.715,3.82,4.78,28.0,28.0,4.3,0.96,0.223256,1.0185,2026-09-01T19:50:00.020405724Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,META260911P00495000,META,2026-09-11,9dte,495.0,put,579.67,0.12,0.26,3.0,3.0,0.19,0.14,0.736842,0.8539,2026-09-01T19:50:00.252145532Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,META260911P00552500,META,2026-09-11,9dte,552.5,put,579.67,3.05,3.97,1.0,2.0,3.51,0.92,0.262108,0.9531,2026-09-01T19:50:00.315356808Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,AAPL260911P00310000,AAPL,2026-09-11,9dte,310.0,put,325.73,1.06,1.18,4.0,6.0,1.12,0.12,0.107143,0.9517,2026-09-01T19:50:00.145619882Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,META260911P00515000,META,2026-09-11,9dte,515.0,put,579.67,0.39,0.48,9.0,2.0,0.435,0.09,0.206897,0.8884,2026-09-01T19:50:00.045952911Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,MSFT260911C00500000,MSFT,2026-09-11,9dte,500.0,call,500.715,8.13,8.98,27.0,24.0,8.555,0.85,0.099357,0.9986,2026-09-01T19:50:00.038293142Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,AAPL260911P00290000,AAPL,2026-09-11,9dte,290.0,put,325.73,0.17,0.2,16.0,16.0,0.185,0.03,0.162162,0.8903,2026-09-01T19:49:59.249818827Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,AAPL260911P00282500,AAPL,2026-09-11,9dte,282.5,put,325.73,0.05,0.16,20.0,24.0,0.105,0.11,1.047619,0.8673,2026-09-01T19:49:59.09063959Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,AAPL260911P00302500,AAPL,2026-09-11,9dte,302.5,put,325.73,0.45,0.52,32.0,56.0,0.485,0.07,0.14433,0.9287,2026-09-01T19:49:59.104287697Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,AAPL260911P00277500,AAPL,2026-09-11,9dte,277.5,put,325.73,0.03,0.12,8.0,7.0,0.075,0.09,1.2,0.8519,2026-09-01T19:50:00.109659355Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,AAPL260911P00320000,AAPL,2026-09-11,9dte,320.0,put,325.73,3.15,3.42,8.0,7.0,3.285,0.27,0.082192,0.9824,2026-09-01T19:50:00.151600213Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,MSFT260911P00455000,MSFT,2026-09-11,9dte,455.0,put,500.715,0.18,0.33,5.0,3.0,0.255,0.15,0.588235,0.9087,2026-09-01T19:50:00.346727158Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,GOOGL260911P00320000,GOOGL,2026-09-11,9dte,320.0,put,334.205,1.07,1.28,24.0,3.0,1.175,0.21,0.178723,0.9575,2026-09-01T19:50:00.210487241Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,AMZN260911P00227500,AMZN,2026-09-11,9dte,227.5,put,254.475,0.11,0.19,19.0,47.0,0.15,0.08,0.533333,0.894,2026-09-01T19:50:00.085507214Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,META260911C00580000,META,2026-09-11,9dte,580.0,call,579.67,12.98,13.43,4.0,1.0,13.205,0.45,0.034078,1.0006,2026-09-01T19:50:00.041606547Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,AMZN260911P00255000,AMZN,2026-09-11,9dte,255.0,put,254.475,4.68,4.72,2.0,3.0,4.7,0.04,0.008511,1.0021,2026-09-01T19:50:00.642536603Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,GOOGL260911P00330000,GOOGL,2026-09-11,9dte,330.0,put,334.205,3.68,3.92,10.0,8.0,3.8,0.24,0.063158,0.9874,2026-09-01T19:50:00.036268994Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,INTC260911P00086000,INTC,2026-09-11,9dte,86.0,put,88.96,1.74,2.0,2.0,1.0,1.87,0.26,0.139037,0.9667,2026-09-01T19:50:00.070478343Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,AMZN260911P00232500,AMZN,2026-09-11,9dte,232.5,put,254.475,0.2,0.31,51.0,109.0,0.255,0.11,0.431373,0.9136,2026-09-01T19:49:58.885288735Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,AMZN260911P00240000,AMZN,2026-09-11,9dte,240.0,put,254.475,0.61,0.71,25.0,143.0,0.66,0.1,0.151515,0.9431,2026-09-01T19:49:58.877034026Z
2026-09-01T19:50:05.446946+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,INTC260911P00082000,INTC,2026-09-11,9dte,82.0,put,88.96,0.57,0.87,72.0,1.0,0.72,0.3,0.416667,0.9218,2026-09-01T19:50:00.031608131Z
