captured_at,account,host,rth,symbol,underlying,expiry,tenor,strike,type,spot,bid,ask,bid_sz,ask_sz,mid,spread,spread_pct,moneyness,quote_t
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260911P00327500,TSLA,2026-09-11,9dte,327.5,put,366.6,0.8,0.94,31.0,2.0,0.87,0.14,0.16092,0.8933,2026-08-31T19:50:01.713182989Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260911P00698000,SPY,2026-09-11,9dte,698.0,put,766.87,0.16,0.18,789.0,559.0,0.17,0.02,0.117647,0.9102,2026-08-31T19:50:05.815025081Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260911P00744000,SPY,2026-09-11,9dte,744.0,put,766.87,0.92,0.95,215.0,56.0,0.935,0.03,0.032086,0.9702,2026-08-31T19:50:04.816212678Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260911P00709000,SPY,2026-09-11,9dte,709.0,put,766.87,0.2,0.22,677.0,520.0,0.21,0.02,0.095238,0.9245,2026-08-31T19:50:05.643637053Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,NVDA260911P00212500,NVDA,2026-09-11,9dte,212.5,put,219.51,1.74,1.88,59.0,18.0,1.81,0.14,0.077348,0.9681,2026-08-31T19:50:02.137942949Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260911P00367500,TSLA,2026-09-11,9dte,367.5,put,366.6,10.32,10.7,1.0,15.0,10.51,0.38,0.036156,1.0025,2026-08-31T19:50:03.495649024Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,NVDA260911P00210000,NVDA,2026-09-11,9dte,210.0,put,219.51,1.28,1.45,50.0,117.0,1.365,0.17,0.124542,0.9567,2026-08-31T19:50:01.834267921Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,NVDA260911P00220000,NVDA,2026-09-11,9dte,220.0,put,219.51,4.45,4.68,73.0,94.0,4.565,0.23,0.050383,1.0022,2026-08-31T19:50:03.252645825Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260911P00312500,TSLA,2026-09-11,9dte,312.5,put,366.6,0.16,0.43,56.0,65.0,0.295,0.27,0.915254,0.8524,2026-08-31T19:50:04.067456551Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260911P00732000,SPY,2026-09-11,9dte,732.0,put,766.87,0.41,0.47,45.0,107.0,0.44,0.06,0.136364,0.9545,2026-08-31T19:50:05.379336801Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260911P00630000,SPY,2026-09-11,9dte,630.0,put,766.87,0.03,0.08,727.0,653.0,0.055,0.05,0.909091,0.8215,2026-08-31T19:50:05.706196149Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,NVDA260911P00215000,NVDA,2026-09-11,9dte,215.0,put,219.51,2.55,2.57,10.0,26.0,2.56,0.02,0.007813,0.9795,2026-08-31T19:50:04.214023545Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260911C00385000,TSLA,2026-09-11,9dte,385.0,call,366.6,4.73,4.97,61.0,60.0,4.85,0.24,0.049485,1.0502,2026-08-31T19:50:03.319799223Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260911P00767000,SPY,2026-09-11,9dte,767.0,put,766.87,4.95,5.18,8.0,52.0,5.065,0.23,0.04541,1.0002,2026-08-31T19:50:04.266236723Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,NVDA260911P00190000,NVDA,2026-09-11,9dte,190.0,put,219.51,0.18,0.22,75.0,75.0,0.2,0.04,0.2,0.8656,2026-08-31T19:50:04.264871148Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260911P00355000,TSLA,2026-09-11,9dte,355.0,put,366.6,5.19,5.42,29.0,59.0,5.305,0.23,0.043355,0.9684,2026-08-31T19:50:05.020777345Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,NVDA260911P00202500,NVDA,2026-09-11,9dte,202.5,put,219.51,0.5,0.54,66.0,55.0,0.52,0.04,0.076923,0.9225,2026-08-31T19:50:04.269706623Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,NVDA260911P00207500,NVDA,2026-09-11,9dte,207.5,put,219.51,0.89,0.97,68.0,52.0,0.93,0.08,0.086022,0.9453,2026-08-31T19:50:03.478685099Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260911C00782000,SPY,2026-09-11,9dte,782.0,call,766.87,0.81,0.86,276.0,258.0,0.835,0.05,0.05988,1.0197,2026-08-31T19:50:05.652798144Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260911P00340000,TSLA,2026-09-11,9dte,340.0,put,366.6,1.89,1.95,31.0,22.0,1.92,0.06,0.03125,0.9274,2026-08-31T19:50:03.99590081Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,NVDA260911P00180000,NVDA,2026-09-11,9dte,180.0,put,219.51,0.08,0.1,94.0,78.0,0.09,0.02,0.222222,0.82,2026-08-31T19:50:02.249527424Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260911C00367500,TSLA,2026-09-11,9dte,367.5,call,366.6,10.79,11.6,10.0,28.0,11.195,0.81,0.072354,1.0025,2026-08-31T19:50:02.569726917Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260911P00332500,TSLA,2026-09-11,9dte,332.5,put,366.6,0.95,1.67,89.0,108.0,1.31,0.72,0.549618,0.907,2026-08-31T19:50:04.067456551Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,NVDA260911P00200000,NVDA,2026-09-11,9dte,200.0,put,219.51,0.34,0.37,96.0,30.0,0.355,0.03,0.084507,0.9111,2026-08-31T19:50:02.452907478Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260911P00345000,TSLA,2026-09-11,9dte,345.0,put,366.6,2.73,2.81,1.0,19.0,2.77,0.08,0.028881,0.9411,2026-08-31T19:50:03.706045461Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260911P00755000,SPY,2026-09-11,9dte,755.0,put,766.87,1.99,2.0,113.0,127.0,1.995,0.01,0.005013,0.9845,2026-08-31T19:50:05.88779891Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260911P00300000,TSLA,2026-09-11,9dte,300.0,put,366.6,0.19,0.23,55.0,57.0,0.21,0.04,0.190476,0.8183,2026-08-31T19:50:05.013740509Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260911P00665000,SPY,2026-09-11,9dte,665.0,put,766.87,0.06,0.12,766.0,683.0,0.09,0.06,0.666667,0.8672,2026-08-31T19:50:03.549972584Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,NVDA260911P00187500,NVDA,2026-09-11,9dte,187.5,put,219.51,0.16,0.19,54.0,34.0,0.175,0.03,0.171429,0.8542,2026-08-31T19:50:02.613195943Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260911P00685000,SPY,2026-09-11,9dte,685.0,put,766.87,0.09,0.11,1057.0,1605.0,0.1,0.02,0.2,0.8932,2026-08-31T19:50:05.671392445Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260911P00320000,TSLA,2026-09-11,9dte,320.0,put,366.6,0.52,0.58,37.0,112.0,0.55,0.06,0.109091,0.8729,2026-08-31T19:50:03.55756153Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260911P00650000,SPY,2026-09-11,9dte,650.0,put,766.87,0.05,0.1,407.0,752.0,0.075,0.05,0.666667,0.8476,2026-08-31T19:50:05.439655819Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,NVDA260911C00220000,NVDA,2026-09-11,9dte,220.0,call,219.51,4.7,4.93,3.0,97.0,4.815,0.23,0.047767,1.0022,2026-08-31T19:50:02.395207184Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260911P00360000,TSLA,2026-09-11,9dte,360.0,put,366.6,6.94,7.08,40.0,55.0,7.01,0.14,0.019971,0.982,2026-08-31T19:50:03.994031386Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260911C00375000,TSLA,2026-09-11,9dte,375.0,call,366.6,7.68,7.86,20.0,1.0,7.77,0.18,0.023166,1.0229,2026-08-31T19:50:03.994742115Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260911C00805000,SPY,2026-09-11,9dte,805.0,call,766.87,0.04,0.05,944.0,616.0,0.045,0.01,0.222222,1.0497,2026-08-31T19:50:05.366550776Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260911C00767000,SPY,2026-09-11,9dte,767.0,call,766.87,6.48,6.69,270.0,52.0,6.585,0.21,0.031891,1.0002,2026-08-31T19:50:05.88418505Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,NVDA260911P00195000,NVDA,2026-09-11,9dte,195.0,put,219.51,0.21,0.25,71.0,131.0,0.23,0.04,0.173913,0.8883,2026-08-31T19:50:02.437937415Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,SPY260911P00721000,SPY,2026-09-11,9dte,721.0,put,766.87,0.28,0.3,487.0,263.0,0.29,0.02,0.068966,0.9402,2026-08-31T19:50:04.730213151Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,TSLA260911P00350000,TSLA,2026-09-11,9dte,350.0,put,366.6,3.84,3.86,1.0,56.0,3.85,0.02,0.005195,0.9547,2026-08-31T19:50:05.702877209Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,META260911P00510000,META,2026-09-11,9dte,510.0,put,573.98,0.34,0.41,1.0,12.0,0.375,0.07,0.186667,0.8885,2026-08-31T19:50:00.69159657Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,MSFT260911P00487500,MSFT,2026-09-11,9dte,487.5,put,510.25,1.07,2.07,8.0,10.0,1.57,1.0,0.636943,0.9554,2026-08-31T19:50:01.120063656Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,MSFT260911P00502500,MSFT,2026-09-11,9dte,502.5,put,510.25,4.18,6.08,1.0,21.0,5.13,1.9,0.37037,0.9848,2026-08-31T19:50:01.243456791Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,MSFT260911P00465000,MSFT,2026-09-11,9dte,465.0,put,510.25,0.28,0.4,8.0,8.0,0.34,0.12,0.352941,0.9113,2026-08-31T19:50:01.264111265Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,META260911P00500000,META,2026-09-11,9dte,500.0,put,573.98,0.22,0.28,30.0,53.0,0.25,0.06,0.24,0.8711,2026-08-31T19:50:01.217579401Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,MSFT260911C00510000,MSFT,2026-09-11,9dte,510.0,call,510.25,7.61,9.61,1.0,1.0,8.61,2.0,0.232288,0.9995,2026-08-31T19:50:00.997436162Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,MSFT260911P00435000,MSFT,2026-09-11,9dte,435.0,put,510.25,0.05,0.16,6.0,1.0,0.105,0.11,1.047619,0.8525,2026-08-31T19:50:00.927665202Z
2026-08-31T19:50:09.349086+00:00,PA3BUA9MX72C,Jamies-MacBook-Pro.local,True,AAPL260911P00297500,AAPL,2026-09-11,9dte,297.5,put,316.72,0.34,0.77,65.0,104.0,0.555,0.43,0.774775,0.9393,2026-08-31T19:50:02.65012448Z
